KEY,VALUE
language,中文
translator,語言
translators_note,"這是《心之領主》的官方中文語言檔案。 享受遊戲吧～"""
version,v0.7.3
dialogue_button_node_back_button,返回
dialogue_button_node_back_tooltip,返回上一页 [R]
dialogue_button_node_continue_button,继续
dialogue_button_node_continue_tooltip,继续下一页 [空格键]
dialogue_button_node_close_button,返回
dialogue_button_node_close_tooltip,关闭这一页[R]
dialogue_button_node_closetinue_tooltip,关闭并继续[空格键]
start_page_title,心之领主
start_page_subtitle,（Alpha 測試版）
start_page_this_is_fluffy_moth,"<c(bright_gold)>此版本为<rog(绒毛飞蛾等级 - [url='https://www.patreon.com/nranchs']Patreon[/url]支持者专属构建)>, 感谢您的支持！
 您可通过游戏内菜单使用作弊功能。 此版本包含绒毛飞蛾等级的独家Patreon专属内容。
 欢迎加入[url='https://discord.gg/DxTEHs4Xgb']Discord社区[/url]获取最新更新动态。</c>"
start_page_this_is_patreon,"<c(bright_gold)>此版本为<loh(友好史莱姆等级 -[url='https://www.patreon.com/nranchs']Patreon[/url]支持者专属构建)>, 感谢您的支持！
 您可通过游戏内菜单使用作弊功能。
 欢迎加入[url='https://discord.gg/DxTEHs4Xgb']Discord社区[/url]获取最新更新动态。</c>"
start_page_this_is_public,"<c(bright_gold)>此版本为<b>公开构建版</b>。
 您可以在[url='https://www.patreon.com/nranchs']Patreon[/url]支持本项目，抢先体验测试版本、专属内容、作弊功能等多项特权！
 欢迎加入[url='https://discord.gg/DxTEHs4Xgb']Discord社区[/url]获取最新更新动态。</c>"
start_page_be_18,"<b>本作品中的所有角色均已年满 18 岁。
继续游戏即表示您确认在您的居住国家/地区已达法定成年年龄。 </b>"""
start_page_display_subheader,显示设置 
start_page_copy_note,说明：页面文字可使用Ctrl-C快捷键复制到剪贴板。 
start_page_button_commence,现在，让我们开始吧 
on_queers_text1,致我的朋友、家人、酷儿同胞与同志们： 
on_queers_text2,"""大胆去爱，挣脱枷锁"" "
on_queers_text3,——Nranchs 敬上 
on_queers_button_yes,yes!
on_vice_text1,想象之乐，其妙何极！当此沉醉之时，举世皆为我辈所有——万物莫敢不从，吾等既摧折天地，复以新造之物重缀人间，转瞬却又将它们献祭。诸般罪愆手段尽在掌中，非但尽数施展，更将骇人景象倍增百重。 
on_vice_text2,——萨德侯爵，《恶行昌隆录》 
on_vice_text3,"亲爱的读者，愿您享受本作的荒诞美学，在这动荡年代，且让罪恶深渊温暖您的心灵。
 但当您回归现实时，请记得以最大的善意与尊严对待身边之人。 去热爱每一种生命的辉煌形态——无论外形、体态、种族、性取向或性别认同。 
祈愿未来充满安全、多样与慈悲。"
main_menu_title,主菜单
main_menu_new_game,开始新游戏
main_menu_load_game,加载游戏
main_menu_autosaves,自动存档
main_menu_language,语言设置
main_menu_quit_game,退出游戏 
main_menu_long_exit_times,退出游戏过程可能因Godot引擎线程问题稍有延迟。如有修复方案将发布补丁。若等待过长，可直接终止进程。
character_menu_title,角色菜单
character_menu_button_stats,属性
character_menu_button_afflictions,异常状态
character_menu_button_pregnancy,妊娠状态
character_menu_button_genitals,性別
on_death_title,您已死亡
on_death_text,"当你的身体倒在地上时，黑暗包围了你。
仿佛死神终于来收拾你了。 
然后，一切都变黑了——"
on_sleep_title,新的一天
on_sleep_text,"不久后你再度苏醒，伤痛尽愈，精力已复。
 
<q> ——重生点已设定</q>

 <q> ——生命值完全恢复。</q> 

<q> ——所有药剂瓶已填充。</q>
"
on_well_title,生命已恢复
on_well_text,"你喝了泉水，感觉精神一振

 <q>——生命回满</q>

 <q>——药瓶全补满</q>"
on_respawn_title,再次复活
on_respawn_text,"你在熟悉的地方醒来，伤势痊愈，精力恢复。

 <q>——生命值已回满</q>

 <q>——所有药瓶已补满</q>"
on_homeward_teleport_title,回城传送
on_homeward_teleport_text,"光芒闪过，你已回到熟悉之地。

 <q>——已返回重生点</q>"
quest_log_title,任务日志
quest_log_no_quests,当前无进行中任务...
quest_log_button_track,追踪任务
quest_log_button_stop_tracking,取消追踪
quest_log_tracked,已追踪
player_menu_title,玩家菜单
player_menu_level_up,升级！
player_menu_items,物品栏
player_menu_quests,任务列表
player_menu_skills,技能树
player_menu_character,角色状态
player_menu_gallery,收藏图鉴
player_menu_hotbar,快捷栏
player_menu_settings,游戏设置
player_menu_saves,存档管理
player_menu_cheatcodes,作弊代码
player_menu_main_menu,主菜单
player_menu_main_menu_question,是否返回主菜单？所有未保存进度将丢失。
language_menu_title,语言选择
language_menu_support,"当前仅官方支持英语版本，不過我翻譯了XDDDD
  您可使用""导出语言文件""功能，导出《心灵领主》当前语言的全部文本。 
 如需导入玩家翻译，请将文件置于导出功能生成的""语言文件""文件夹内。 
 随后刷新本页面，即可加载您所需的翻译版本。 "
language_menu_export,导出语言文件
language_menu_path_error,无法读取翻译路径
language_menu_no_languages,未找到其他语言版本
export_translation_text,翻译文件已导出至文件夹：%s
on_language_loaded_title,语言包加载完成
on_language_loaded_text,"已加载 {0} 语言包 {中文}（由 {我不做人了} 翻译）

译者注：{我为什么要去搞翻译那么傻，因为想大家(自己)玩得开心，不过有些地方迷之没翻译出來，欢迎任何人拿去改和发布}"
investigate_title,观察环境
investigate_no_targets,视野内无可互动物体...
settings_title,设置
settings_button_gameplay,游戏性设置
settings_button_controls,控制设置
settings_gameplay_title,游戏内容选项
settings_gameplay_button_mpreg,[启用男性妊娠]：
settings_gameplay_tooltip_mpreg,允许无子宫角色通过肛门受孕
